HARGA;LT;LB;JKT;JKM;Kota;
2100000000;137;170;3;2;Bandung;
4100000000;202;300;3;2;Bandung;
3300000000;350;258;5;2;Bandung;
580000000;30;80;2;2;Bandung;
1300000000;176;176;11;3;Bandung;
3600000000;184;234;5;3;Bandung;
1170000000;65;45;2;1;Bandung;
2900000000;260;260;4;3;Bandung;
4500000000;404;250;5;3;Bandung;
2100000000;137;170;3;2;Bandung;
2200000000;172;220;4;3;Bandung;
1400000000;137;160;2;2;Bandung;
7000000000;188;260;6;3;Bandung;
3600000000;184;250;5;5;Bandung;
7500000000;268;700;6;5;Bandung;
5800000000;400;400;4;3;Bandung;
3500000000;222;196;4;3;Bandung;
1500000000;74;78;3;2;Bandung;
8000000000;399;309;3;3;Bandung;
1500000000;187;370;6;5;Bandung;
650000000;180;90;4;1;Bandung;
3900000000;270;450;2;3;Bandung;
1200000000;38;114;2;2;Bandung;
4100000000;650;200;7;3;Bandung;
1500000000;170;350;0;0;Bandung;
1100000000;97;90;4;1;Bandung;
2750000000;245;190;3;2;Bandung;
3300000000;350;258;5;2;Bandung;
3500000000;240;200;4;2;Bandung;
10500000000;660;200;9;3;Bandung;
2300000000;137;170;3;2;Bandung;
10500000000;660;200;9;3;Bandung;
1200000000;126;98;3;2;Bandung;
875000000;100;60;2;1;Bandung;
5500000000;394;420;4;3;Bandung;
1750000000;233;230;3;2;Bandung;
2200000000;159;130;3;3;Bandung;
1800000000;63;63;3;3;Bandung;
7000000000;143;288;6;4;Bandung;
4250000000;269;439;8;4;Bandung;
3500000000;240;200;4;3;Bandung;
1800000000;158;150;4;3;Bandung;
600000000;85;80;4;2;Bandung;
265000000;22;46;1;1;Bandung;
1500000000;170;350;5;4;Bandung;
1100000000;97;90;4;1;Bandung;
2350000000;198;175;3;2;Bandung;
2570000000;134;220;4;2;Bandung;
500000000;120;110;4;1;Bandung;
3000000000;240;200;2;1;Bandung;
550000000;31;77;2;2;Bandung;
1400000000;137;160;2;2;Bandung;
1100000000;72;65;2;2;Bandung;
1250000000;200;150;4;2;Bandung;
400000000;56;95;5;3;Bandung;
1600000000;70;116;3;2;Bandung;
1600000000;70;116;3;2;Bandung;
1800000000;89;145;4;2;Bandung;
1800000000;89;145;4;2;Bandung;
11900000000;598;550;0;0;Bandung;
6500000000;364;500;7;4;Bandung;
2000000000;200;180;3;1;Bandung;
9000000000;718;1000;5;7;Bandung;
2000000000;161;200;6;3;Bandung;
8900000000;447;700;5;4;Bandung;
1200000000;120;100;4;2;Bandung;
3500000000;240;200;4;2;Bandung;
1350000000;170;350;5;4;Bandung;
35000000000;317;200;4;3;Bandung;
1100000000;97;90;4;1;Bandung;
1100000000;97;90;4;1;Bandung;
550000000;125;115;3;1;Bandung;
5800000000;400;400;4;3;Bandung;
1100000000;97;90;4;1;Bandung;
4000000000;202;300;4;3;Bandung;
1400000000;49;72;3;2;Bandung;
1580000000;178;250;4;4;Bandung;
11000000000;188;260;7;4;Bandung;
1600000000;70;116;3;2;Bandung;
1750000000;158;150;4;3;Bandung;
325000000;38;70;3;1;Bandung;
1200000000;126;98;3;2;Bandung;
1500000000;187;370;6;5;Bandung;
1500000000;187;370;6;5;Bandung;
7000000000;510;300;3;2;Bandung;
5300000000;270;160;5;4;Bandung;
5300000000;270;160;5;4;Bandung;
1500000000;170;350;5;4;Bandung;
2500000000;168;165;4;2;Bandung;
999000000;39;52;2;2;Bandung;
1990000000;104;125;4;3;Bandung;
1000000000;39;525;2;2;Bandung;
1990000000;104;125;4;11;Bandung;
2500000000;153;167;4;4;Bandung;
5500000000;392;260;5;4;Bandung;
2500000000;228;450;4;4;Bandung;
2250000000;163;300;11;5;Bandung;
3700000000;235;150;3;2;Bandung;
2000000000;140;90;3;2;Bandung;
1600000000;70;116;3;2;Bandung;
5000000000;160;226;4;4;Bandung;
3950000000;202;360;3;2;Bandung;
4000000000;184;234;5;3;Bandung;
4750000000;405;700;4;5;Bandung;
1100000000;97;90;4;1;Bandung;
1300000000;137;160;2;2;Bandung;
1100000000;97;120;4;1;Bandung;
3600000000;127;250;4;4;Bandung;
2500000000;259;270;4;3;Bandung;
1550000000;129;98;0;2;Bandung;
1400000000;140;160;4;2;Bandung;
4950000000;550;250;4;4;Bandung;
3300000000;240;200;4;2;Bandung;
6500000000;475;300;5;3;Bandung;
6500000000;195;320;5;4;Bandung;
4000000000;255;350;4;3;Bandung;
